122 62 22
1.39804e-76 63 3 0
1.39804e-76 64 3 0
1.39804e-76 65 3 0
1.39804e-76 66 3 0
1.39804e-76 67 3 0
1.39804e-76 68 3 0
1.39804e-76 69 3 0
1.39804e-76 70 3 0
1.39804e-76 71 3 0
1.39804e-76 72 3 0
1.39804e-76 73 3 0
1.39804e-76 74 3 0
1.39804e-76 75 3 0
1.39804e-76 76 3 0
1.39804e-76 77 3 0
1.39804e-76 78 3 0
1.39804e-76 79 3 0
1.39804e-76 80 3 0
1.39804e-76 81 3 0
1.39804e-76 82 3 0
1.39804e-76 83 3 0
1.39804e-76 84 3 0
1.39804e-76 85 3 0
1.39804e-76 86 3 0
1.39804e-76 87 3 0
1.39804e-76 88 3 0
1.39804e-76 89 3 0
1.39804e-76 90 3 0
1.39804e-76 91 3 0
1.39804e-76 92 3 0
1.39804e-76 93 3 0
1.39804e-76 94 3 0
1.39804e-76 95 3 0
1.39804e-76 96 3 0
1.39804e-76 97 3 0
1.39804e-76 98 3 0
1.39804e-76 99 3 0
1.39804e-76 100 3 0
1.39804e-76 101 3 0
1.39804e-76 102 3 0
1.39804e-76 103 3 0
1.39804e-76 104 3 0
1.39804e-76 105 3 0
1.39804e-76 106 3 0
1.39804e-76 107 3 0
1.39804e-76 108 3 0
1.39804e-76 109 3 0
1.39804e-76 110 3 0
1.39804e-76 111 3 0
1.39804e-76 112 3 0
1.39804e-76 113 3 0
1.39804e-76 114 3 0
1.39804e-76 115 3 0
1.39804e-76 116 3 0
1.39804e-76 117 3 0
1.39804e-76 118 3 0
1.39804e-76 119 3 0
1.39804e-76 120 3 0
1.39804e-76 121 3 0
1.39804e-76 0 4 0
1.39804e-76 1 4 0
1.39804e-76 2 4 0
1.39804e-76 3 4 0
1.39804e-76 4 4 0
1.39804e-76 5 4 0
1.39804e-76 6 4 0
1.39804e-76 7 4 0
1.39804e-76 8 4 0
1.39804e-76 9 4 0
1.39804e-76 10 4 0
1.39804e-76 11 4 0
1.39804e-76 12 4 0
1.39804e-76 13 4 0
1.39804e-76 14 4 0
1.39804e-76 15 4 0
1.39804e-76 16 4 0
1.39804e-76 17 4 0
1.39804e-76 18 4 0
1.39804e-76 19 4 0
1.39804e-76 20 4 0
1.39804e-76 21 4 0
1.39804e-76 22 4 0
1.39804e-76 23 4 0
1.39804e-76 24 4 0
1.39804e-76 25 4 0
1.39804e-76 26 4 0
1.39804e-76 27 4 0
1.39804e-76 28 4 0
1.39804e-76 29 4 0
1.39804e-76 30 4 0
1.39804e-76 31 4 0
1.39804e-76 32 4 0
1.39804e-76 33 4 0
1.39804e-76 34 4 0
1.39804e-76 35 4 0
1.39804e-76 36 4 0
1.39804e-76 37 4 0
1.39804e-76 38 4 0
1.39804e-76 39 4 0
1.39804e-76 40 4 0
1.39804e-76 41 4 0
1.39804e-76 42 4 0
1.39804e-76 43 4 0
1.39804e-76 44 4 0
1.39804e-76 45 4 0
1.39804e-76 46 4 0
1.39804e-76 47 4 0
1.39804e-76 48 4 0
1.39804e-76 49 4 0
1.39804e-76 50 4 0
1.39804e-76 51 4 0
1.39804e-76 52 4 0
1.39804e-76 53 4 0
1.39804e-76 54 4 0
1.39804e-76 55 4 0
1.39804e-76 56 4 0
1.39804e-76 57 4 0
1.39804e-76 58 4 0
1.39804e-76 59 4 0
1.39804e-76 60 4 0
1.39804e-76 61 4 0
1.39804e-76 62 4 0
1.39804e-76 63 4 0
1.39804e-76 64 4 0
1.39804e-76 65 4 0
1.39804e-76 66 4 0
1.39804e-76 67 4 0
1.39804e-76 68 4 0
1.39804e-76 69 4 0
1.39804e-76 70 4 0
1.39804e-76 71 4 0
1.39804e-76 72 4 0
1.39804e-76 73 4 0
1.39804e-76 74 4 0
1.39804e-76 75 4 0
1.39804e-76 76 4 0
1.39804e-76 77 4 0
1.39804e-76 78 4 0
1.39804e-76 79 4 0
1.39804e-76 80 4 0
1.39804e-76 81 4 0
1.39804e-76 82 4 0
1.39804e-76 83 4 0
1.39804e-76 84 4 0
1.39804e-76 85 4 0
1.39804e-76 86 4 0
1.39804e-76 87 4 0
1.39804e-76 88 4 0
1.39804e-76 89 4 0
1.39804e-76 90 4 0
1.39804e-76 91 4 0
1.39804e-76 92 4 0
1.39804e-76 93 4 0
1.39804e-76 94 4 0
1.39804e-76 95 4 0
1.39804e-76 96 4 0
1.39804e-76 97 4 0
1.39804e-76 98 4 0
1.39804e-76 99 4 0
1.39804e-76 100 4 0
1.39804e-76 101 4 0
1.39804e-76 102 4 0
1.39804e-76 103 4 0
1.39804e-76 104 4 0
1.39804e-76 105 4 0
1.39804e-76 106 4 0
1.39804e-76 107 4 0
1.39804e-76 108 4 0
1.39804e-76 109 4 0
1.39804e-76 110 4 0
1.39804e-76 111 4 0
1.39804e-76 112 4 0
1.39804e-76 113 4 0
1.39804e-76 114 4 0
1.39804e-76 115 4 0
1.39804e-76 116 4 0
1.39804e-76 117 4 0
1.39804e-76 118 4 0
1.39804e-76 119 4 0
1.39804e-76 120 4 0
1.39804e-76 121 4 0
1.39804e-76 0 5 0
1.39804e-76 1 5 0
1.39804e-76 2 5 0
1.39804e-76 3 5 0
1.39804e-76 4 5 0
1.39804e-76 5 5 0
1.39804e-76 6 5 0
1.39804e-76 7 5 0
1.39804e-76 8 5 0
1.39804e-76 9 5 0
1.39804e-76 10 5 0
1.39804e-76 11 5 0
1.39804e-76 12 5 0
1.39804e-76 13 5 0
1.39804e-76 14 5 0
